state,importance,paper_title,venue,project_link_or_github_link,paper_link,sort,pdf_path
Downloaded,B,HOI Dyn Learning Interaction Dynamics for Human Object Motion Diffusion,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_HOI_Dyn_Learning_Interaction_Dynamics_for_Human_Object_Motion_Diffusion.pdf
Downloaded,B,InteractMove Text Controlled Human Object Interaction Generation in 3D Scenes with Movable Objects,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_InteractMove_Text_Controlled_Human_Object_Interaction_Generation_in_3D_Scenes_with_Movable_Objects.pdf
Downloaded,B,InterMamba Efficient Human Human Interaction Generation with Adaptive Spatio Temporal Mamba,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_InterMamba_Efficient_Human_Human_Interaction_Generation_with_Adaptive_Spatio_Temporal_Mamba.pdf
Downloaded,B,Invisible Strings Revealing Latent Dancer to Dancer Interactions with Graph Neural Networks,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Invisible_Strings_Revealing_Latent_Dancer_to_Dancer_Interactions_with_Graph_Neural_Networks.pdf
Downloaded,B,Jointly Understand Your Command and Intention Reciprocal Co Evolution between Scene Aware 3D Human Motion Synthesis and Analysis,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Jointly_Understand_Your_Command_and_Intention_Reciprocal_Co_Evolution_between_Scene_Aware_3D_Human_Motion_Synthesis_and_Analysis.pdf
Downloaded,B,Leader and Follower Interactive Motion Generation under Trajectory Constraints,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Leader_and_Follower_Interactive_Motion_Generation_under_Trajectory_Constraints.pdf
Downloaded,B,MAMMA Markerless and Automatic Multi Person Motion Action Capture,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_MAMMA_Markerless_and_Automatic_Multi_Person_Motion_Action_Capture.pdf
Downloaded,B,MARRS MaskedAutoregressive Unit based Reaction Synthesis,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_MARRS_MaskedAutoregressive_Unit_based_Reaction_Synthesis.pdf
Downloaded,B,Prime and Reach Synthesising Body Motion for Gaze Primed Object Reach,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Prime_and_Reach_Synthesising_Body_Motion_for_Gaze_Primed_Object_Reach.pdf
Downloaded,B,SceneAdapt Scene aware Adaptation of Human Motion Diffusion,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_SceneAdapt_Scene_aware_Adaptation_of_Human_Motion_Diffusion.pdf
Downloaded,B,SSOMotion HumanMotion Synthesis in 3D Scenes via Unified Scene Semantic Occupancy,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_SSOMotion_HumanMotion_Synthesis_in_3D_Scenes_via_Unified_Scene_Semantic_Occupancy.pdf
Downloaded,B,Text2Interact High Fidelity and Diverse Text to Two Person Interaction Generation,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Text2Interact_High_Fidelity_and_Diverse_Text_to_Two_Person_Interaction_Generation.pdf
Downloaded,B,UniHM Universal Human Motion Generation with Object Interactions in Indoor Scenes,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_UniHM_Universal_Human_Motion_Generation_with_Object_Interactions_in_Indoor_Scenes.pdf
Downloaded,B,Uni Inter Unifying 3D Human Motion Synthesis Across Diverse Interaction Contexts,arXiv 2025,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2025/2025_Uni_Inter_Unifying_3D_Human_Motion_Synthesis_Across_Diverse_Interaction_Contexts.pdf
Downloaded,B,ArtHOI Articulated Human Object Interaction Synthesis by 4D Reconstruction from Video Priors,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_ArtHOI_Articulated_Human_Object_Interaction_Synthesis_by_4D_Reconstruction_from_Video_Priors.pdf
Downloaded,B,Dynamic Worlds Dynamic Humans Generating Virtual Human Scene Interaction Motion in Dynamic Scenes,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_Dynamic_Worlds_Dynamic_Humans_Generating_Virtual_Human_Scene_Interaction_Motion_in_Dynamic_Scenes.pdf
Downloaded,B,HINT Hierarchical Interaction Modeling for Autoregressive Multi Human Motion Generation,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_HINT_Hierarchical_Interaction_Modeling_for_Autoregressive_Multi_Human_Motion_Generation.pdf
Downloaded,B,Hoi3DGen Generating High Quality Human Object Interactions in 3D,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_Hoi3DGen_Generating_High_Quality_Human_Object_Interactions_in_3D.pdf
Downloaded,B,HumanX Toward Agile and Generalizable Humanoid Interaction Skills from Human Videos,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_HumanX_Toward_Agile_and_Generalizable_Humanoid_Interaction_Skills_from_Human_Videos.pdf
Downloaded,B,InterReal A Unified Physics Based Imitation Framework for Learning Human Object Interaction Skills,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_InterReal_A_Unified_Physics_Based_Imitation_Framework_for_Learning_Human_Object_Interaction_Skills.pdf
Downloaded,B,Rhythm Learning Interactive Whole Body Control for Dual Humanoids,arXiv 2026,,,,/data/Life Me/ResearchWY Vault/obsidian-vault/paperPDFs/Human_Interaction/arXiv_2026/2026_Rhythm_Learning_Interactive_Whole_Body_Control_for_Dual_Humanoids.pdf
