venue	paper_title	target_pdf_path	resolved_pdf_url	source_url
SIGGRAPH ASIA 2025	Jackknife Transmittance and MIS Weight Estimation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Jackknife_Transmittance_and_MIS_Weight_Estimation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763273	https://doi.org/10.1145/3763273
SIGGRAPH ASIA 2025	Imperfect Image-Space Control Variates for Monte Carlo Rendering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Imperfect_Image_Space_Control_Variates_for_Monte_Carlo_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763335	https://doi.org/10.1145/3763335
SIGGRAPH ASIA 2025	SZ Sequences: Binary-Constructed $(0, 2^q)$-Sequences	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/SZ_Sequences_Binary_Constructed_0_2_q_Sequences.pdf	https://dl.acm.org/doi/pdf/10.1145/3763272	https://doi.org/10.1145/3763272
SIGGRAPH ASIA 2025	Automatic Sampling for Discontinuities in Differentiable Shaders	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Automatic_Sampling_for_Discontinuities_in_Differentiable_Shaders.pdf	https://dl.acm.org/doi/pdf/10.1145/3763291	https://doi.org/10.1145/3763291
SIGGRAPH ASIA 2025	Many-Worlds Inverse Rendering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Many_Worlds_Inverse_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3767318	http://dx.doi.org/10.1145/3767318
SIGGRAPH ASIA 2025	Differentiable Light Transport with Gaussian Surfels via Adapted Radiosity for Efficient Relighting and Geometry Reconstruction	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Differentiable_Light_Transport_with_Gaussian_Surfels_via_Adapted_Radiosity_for_Efficient_Relighting_and_Geometry_Reconstruction.pdf	https://dl.acm.org/doi/pdf/10.1145/3763305	https://doi.org/10.1145/3763305
SIGGRAPH ASIA 2025	Generalized Unbiased Reconstruction for Gradient-Domain Rendering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Generalized_Unbiased_Reconstruction_for_Gradient_Domain_Rendering.pdf	https://dl.acm.org/doi/pdf/10.1145/3763297	https://doi.org/10.1145/3763297
SIGGRAPH ASIA 2025	HRC-Net: Learning Visual Hypothesis, Representative, and Collaboration for Multi-Domain Image Inpainting	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/HRC_Net_Learning_Visual_Hypothesis_Representative_and_Collaboration_for_Multi_Domain_Image_Inpainting.pdf	https://dl.acm.org/doi/pdf/10.1145/3763337	https://doi.org/10.1145/3763337
SIGGRAPH ASIA 2025	Harnessing Diffusion-Yielded Score Priors for Image Restoration	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Harnessing_Diffusion_Yielded_Score_Priors_for_Image_Restoration.pdf	https://dl.acm.org/doi/pdf/10.1145/3763346	https://doi.org/10.1145/3763346
SIGGRAPH ASIA 2025	Self-supervised Texture Filtering	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Self_supervised_Texture_Filtering.pdf	https://dl.acm.org/doi/pdf/10.1145/3744899	https://doi.org/10.1145/3744899
SIGGRAPH ASIA 2025	Modeling and Exploiting the Time Course of Chromatic Adaptation for Display Power Optimizations in Virtual Reality	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Modeling_and_Exploiting_the_Time_Course_of_Chromatic_Adaptation_for_Display_Power_Optimizations_in_Virtual_Reality.pdf	https://dl.acm.org/doi/pdf/10.1145/3763294	https://doi.org/10.1145/3763294
SIGGRAPH ASIA 2025	Glare Pattern Depiction: High-Fidelity Physical Computation and Physiologically-Inspired Visual Response	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Glare_Pattern_Depiction_High_Fidelity_Physical_Computation_and_Physiologically_Inspired_Visual_Response.pdf	https://dl.acm.org/doi/pdf/10.1145/3763356	https://doi.org/10.1145/3763356
SIGGRAPH ASIA 2025	MILO: A Lightweight Perceptual Quality Metric for Image and Latent-Space Optimization	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/MILO_A_Lightweight_Perceptual_Quality_Metric_for_Image_and_Latent_Space_Optimization.pdf	https://dl.acm.org/doi/pdf/10.1145/3763340	https://doi.org/10.1145/3763340
SIGGRAPH ASIA 2025	WATER: Watertight Tessellation for Real-Time Pixel-Accurate Rendering of Large-Scale Surfaces	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/WATER_Watertight_Tessellation_for_Real_Time_Pixel_Accurate_Rendering_of_Large_Scale_Surfaces.pdf	https://dl.acm.org/doi/pdf/10.1145/3763317	https://doi.org/10.1145/3763317
SIGGRAPH ASIA 2025	Artifact-Resilient Real-Time Holography	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Artifact_Resilient_Real_Time_Holography.pdf	https://dl.acm.org/doi/pdf/10.1145/3763361	https://doi.org/10.1145/3763361
SIGGRAPH ASIA 2025	Split4D: Decomposed 4D Scene Reconstruction Without Video Segmentation	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Split4D_Decomposed_4D_Scene_Reconstruction_Without_Video_Segmentation.pdf	https://dl.acm.org/doi/pdf/10.1145/3763343	https://doi.org/10.1145/3763343
SIGGRAPH ASIA 2025	Numerical Homogenization of Sand from Grain-level Simulations	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Numerical_Homogenization_of_Sand_from_Grain_level_Simulations.pdf	https://dl.acm.org/doi/pdf/10.1145/3763344	https://doi.org/10.1145/3763344
SIGGRAPH ASIA 2025	Shape-aware Inertial Poser: Motion Tracking for Humans with Diverse Shapes Using Sparse Inertial Sensors	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Shape_aware_Inertial_Poser_Motion_Tracking_for_Humans_with_Diverse_Shapes_Using_Sparse_Inertial_Sensors.pdf	https://dl.acm.org/doi/pdf/10.1145/3763311	https://doi.org/10.1145/3763311
SIGGRAPH ASIA 2025	GarmageNet: A Multimodal Generative Framework for Sewing Pattern Design and Generic Garment Modeling	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/GarmageNet_A_Multimodal_Generative_Framework_for_Sewing_Pattern_Design_and_Generic_Garment_Modeling.pdf	https://dl.acm.org/doi/pdf/10.1145/3763271	https://doi.org/10.1145/3763271
SIGGRAPH ASIA 2025	Realistic Cloth Rendering with a Ray-Wave Hybrid Shading Model	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Realistic_Cloth_Rendering_with_a_Ray_Wave_Hybrid_Shading_Model.pdf	https://dl.acm.org/doi/pdf/10.1145/3763359	https://kesen.realtimerendering.com/siga2025Papers.htm
SIGGRAPH ASIA 2025	BrepGPT: Autoregressive B-rep Generation with Voronoi Half-Patch	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/BrepGPT_Autoregressive_B_rep_Generation_with_Voronoi_Half_Patch.pdf	https://dl.acm.org/doi/pdf/10.1145/3763323	https://doi.org/10.1145/3763323
SIGGRAPH ASIA 2025	NURBS-Based Grid Shell Form finding on Domains with Topologically Arbitrary Boundaries	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/NURBS_Based_Grid_Shell_Form_finding_on_Domains_with_Topologically_Arbitrary_Boundaries.pdf	https://dl.acm.org/doi/pdf/10.1145/3763284	https://doi.org/10.1145/3763284
SIGGRAPH ASIA 2025	Overlap Region Extraction of Two NURBS Surfaces	obsidian-vault/paperPDFs/SIGGRAPH_ASIA_2025/Overlap_Region_Extraction_of_Two_NURBS_Surfaces.pdf	https://dl.acm.org/doi/pdf/10.1145/3763308	https://doi.org/10.1145/3763308
