batch_id,root_id,subtopic_id,subtopic_label,paper_count,manifest_path
iclr26_other_unclear__other_unclear__b006,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b006.jsonl
iclr26_other_unclear__other_unclear__b007,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b007.jsonl
iclr26_other_unclear__other_unclear__b008,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b008.jsonl
iclr26_other_unclear__other_unclear__b009,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b009.jsonl
iclr26_other_unclear__other_unclear__b010,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b010.jsonl
iclr26_other_unclear__other_unclear__b011,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b011.jsonl
iclr26_other_unclear__other_unclear__b012,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b012.jsonl
iclr26_other_unclear__other_unclear__b013,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b013.jsonl
iclr26_other_unclear__other_unclear__b014,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b014.jsonl
iclr26_other_unclear__other_unclear__b015,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b015.jsonl
iclr26_other_unclear__other_unclear__b016,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b016.jsonl
iclr26_other_unclear__other_unclear__b017,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b017.jsonl
iclr26_other_unclear__other_unclear__b018,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b018.jsonl
iclr26_other_unclear__other_unclear__b019,other_unclear,other_unclear,Other / Unclear,25,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b019.jsonl
iclr26_other_unclear__other_unclear__b020,other_unclear,other_unclear,Other / Unclear,2,_private/topic_priority/subtopic_batches/batches/iclr26_other_unclear__other_unclear__b020.jsonl
iclr26_reinforcement_learning_planning_agents__bandits_online__b001,reinforcement_learning_planning_agents,bandits_online,Bandits & Online RL,7,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__bandits_online__b001.jsonl
iclr26_reinforcement_learning_planning_agents__batch_offline__b001,reinforcement_learning_planning_agents,batch_offline,Batch/Offline,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__batch_offline__b001.jsonl
iclr26_reinforcement_learning_planning_agents__batch_offline__b002,reinforcement_learning_planning_agents,batch_offline,Batch/Offline,23,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__batch_offline__b002.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b001,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b001.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b002,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b002.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b003,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b003.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b004,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b004.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b005,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b005.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b006,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b006.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b007,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b007.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b008,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b008.jsonl
iclr26_reinforcement_learning_planning_agents__deep_rl__b009,reinforcement_learning_planning_agents,deep_rl,Deep RL,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__deep_rl__b009.jsonl
iclr26_reinforcement_learning_planning_agents__function_approximation__b001,reinforcement_learning_planning_agents,function_approximation,Function Approximation,5,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__function_approximation__b001.jsonl
iclr26_reinforcement_learning_planning_agents__inverse__b001,reinforcement_learning_planning_agents,inverse,Inverse,6,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__inverse__b001.jsonl
iclr26_reinforcement_learning_planning_agents__multi_agent__b001,reinforcement_learning_planning_agents,multi_agent,Multi-agent,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__multi_agent__b001.jsonl
iclr26_reinforcement_learning_planning_agents__multi_agent__b002,reinforcement_learning_planning_agents,multi_agent,Multi-agent,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__multi_agent__b002.jsonl
iclr26_reinforcement_learning_planning_agents__multi_agent__b003,reinforcement_learning_planning_agents,multi_agent,Multi-agent,5,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__multi_agent__b003.jsonl
iclr26_reinforcement_learning_planning_agents__multi_agent_rl__b001,reinforcement_learning_planning_agents,multi_agent_rl,Multi-Agent RL,5,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__multi_agent_rl__b001.jsonl
iclr26_reinforcement_learning_planning_agents__offline_batch_rl__b001,reinforcement_learning_planning_agents,offline_batch_rl,Offline / Batch RL,4,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__offline_batch_rl__b001.jsonl
iclr26_reinforcement_learning_planning_agents__online__b001,reinforcement_learning_planning_agents,online,Online,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__online__b001.jsonl
iclr26_reinforcement_learning_planning_agents__online__b002,reinforcement_learning_planning_agents,online,Online,9,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__online__b002.jsonl
iclr26_reinforcement_learning_planning_agents__planning__b001,reinforcement_learning_planning_agents,planning,Planning,25,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__planning__b001.jsonl
iclr26_reinforcement_learning_planning_agents__planning__b002,reinforcement_learning_planning_agents,planning,Planning,5,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__planning__b002.jsonl
iclr26_reinforcement_learning_planning_agents__planning_control__b001,reinforcement_learning_planning_agents,planning_control,Planning & Control,17,_private/topic_priority/subtopic_batches/batches/iclr26_reinforcement_learning_planning_agents__planning_control__b001.jsonl
iclr26_representation_self_supervised_transfer__causality__b001,representation_self_supervised_transfer,causality,Causality,25,_private/topic_priority/subtopic_batches/batches/iclr26_representation_self_supervised_transfer__causality__b001.jsonl
iclr26_representation_self_supervised_transfer__causality__b002,representation_self_supervised_transfer,causality,Causality,23,_private/topic_priority/subtopic_batches/batches/iclr26_representation_self_supervised_transfer__causality__b002.jsonl
